Grapheme	IPA	Frequency	
.	NULL		
^#	NULL	
.#	+	
.#$	NULL	
.#ː	+	
a	a	3942
u	u	1817
i	i	1793
o	o	1301
m	m	1246
n	n	1244
t	t	1130
k	k	1009
e	e	950
l	l	866
r	r	697
s	s	692
b	b	607
ŋ	ŋ	511
h	h	508
d	d	464
p	p	450
ʔ	ʔ	430
j	j	362
g	g	282
f	f	234
w	w	207
c	c	178
ə	ə	158
v	v	133
cʰ	cʰ	90
aː	aː	86
é	ʔ e	86
q	q	83
z	z	68
ʉ	ʉ	63
õ	õ	61
nʲ	nʲ	56
gʰ	gʰ	51
x	x	35
oː	oː	31
uː	uː	31
eː	eː	22
iː	iː	22
tː	tː	19
f.ʔ	fˀ	
ʕ	ʕ	15
ʉ́	ʉ	11
kː	kː	9
sː	sː	8
nː	nː	7
w̃	w̃	6
lː	lː	5
pʰ	pʰ	5
pː	pː	5
rː	rː	5
kʰ	kʰ	4
tʰ	tʰ	4
mː	mː	3
dː	dː	2
ŋː	ŋː	2
cː	cː	1
gː	gː	1
h̃	h	1
ŋʰ	ŋʰ	1
əː	əː	1
ə́	ə́/ə	1
